Coal: Production*,,,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,
Exajoules,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019,,
Other Africa,0.06,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.05,0.18,0.21,0.24,0.25,0.32,0.59,0.74,0.57,-22.4%,36.9%,0.3%,,
Total Africa,3.28,3.60,3.64,4.06,4.32,4.43,4.43,4.55,4.42,4.40,4.48,4.58,4.67,4.85,5.10,5.08,5.41,5.48,5.47,5.46,5.45,5.36,5.76,5.89,5.92,5.88,5.88,5.98,5.92,6.15,6.11,6.36,6.38,6.59,6.33,6.41,6.64,6.83,6.66,-2.6%,1.3%,4.0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2.84,2.90,3.02,3.17,3.87,4.11,4.30,4.22,4.59,4.80,4.98,5.32,5.34,5.46,5.73,5.91,6.44,6.60,6.95,7.19,7.77,8.01,8.28,8.60,9.00,9.20,9.51,9.79,10.16,10.49,10.26,11.13,11.97,12.81,12.80,12.83,12.50,13.06,13.15,0.7%,2.9%,7.8%,,
China,13.01,13.95,14.96,16.52,18.26,18.71,19.43,20.51,22.07,22.61,22.76,23.37,24.09,25.96,28.49,29.24,29.05,27.88,28.55,29.61,31.37,33.51,39.58,46.35,51.99,55.62,60.26,62.46,64.39,69.72,77.53,78.44,79.32,78.05,76.43,70.82,73.17,76.58,79.82,4.2%,2.1%,47.6%,,
India,2.67,2.64,2.80,2.93,3.03,3.26,3.57,3.80,4.13,4.45,4.76,5.02,5.19,5.28,5.57,5.97,6.17,6.13,6.00,6.38,6.46,6.74,7.04,7.60,7.95,8.29,8.80,9.52,10.30,10.56,10.50,10.68,10.71,11.28,11.77,11.89,11.99,12.80,12.73,-0.5%,3.0%,7.6%,,
Indonesia,0.01,0.01,0.02,0.04,0.05,0.06,0.07,0.11,0.21,0.26,0.34,0.55,0.68,0.81,1.03,1.24,1.35,1.54,1.82,1.90,2.28,2.55,2.82,3.27,3.77,4.78,5.35,5.93,6.32,6.79,8.72,9.52,11.71,11.30,11.39,11.25,11.38,13.76,15.05,9.4%,8.8%,9.0%,,
Japan,0.46,0.46,0.43,0.42,0.40,0.39,0.31,0.27,0.24,0.19,0.19,0.18,0.17,0.16,0.14,0.15,0.10,0.08,0.09,0.07,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,-27.1%,-1.6%,?,,
Mongolia,0.08,0.09,0.09,0.10,0.12,0.13,0.15,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.10,0.10,0.09,0.10,0.09,0.10,0.10,0.11,0.11,0.13,0.14,0.15,0.18,0.19,0.28,0.48,0.63,0.59,0.64,0.47,0.46,0.67,0.94,1.04,1.09,4.7%,18.4%,0.6%,,
New Zealand,0.05,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0.06,0.07,0.07,0.08,0.08,0.10,0.10,0.09,0.08,0.09,0.09,0.10,0.12,0.14,0.14,0.14,0.15,0.12,0.13,0.12,0.14,0.13,0.13,0.12,0.10,0.09,0.07,0.07,0.08,0.08,-5.8%,-4.3%,?,,
