Coal: Consumption*,,,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,
Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,22.0%,-5.3%,?,,
Norway,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.6%,1.3%,?,,
Poland,2.49,2.52,2.57,2.69,2.83,2.94,3.01,3.15,3.16,3.25,3.50,3.66,3.79,3.97,4.02,4.26,3.79,3.93,3.92,4.09,4.18,4.29,4.44,4.32,4.13,3.28,3.25,3.14,3.11,2.90,2.94,3.01,2.94,2.65,2.54,2.35,2.33,2.28,2.35,2.28,2.31,2.40,2.34,2.31,2.17,2.31,2.30,2.14,2.23,2.07,2.04,2.07,2.08,2.08,1.91,-8.4%,-1.0%,1.2%,,
Portugal,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.06,0.08,0.09,0.10,0.12,0.12,0.13,0.14,0.14,0.18,0.16,0.15,0.15,0.16,0.16,0.13,0.15,0.14,0.14,0.14,0.14,0.12,0.11,0.12,0.07,0.09,0.12,0.11,0.11,0.14,0.12,0.14,0.11,0.06,-49.4%,0.8%,?,,
Romania,0.18,0.20,0.22,0.24,0.28,0.30,0.32,0.33,0.37,0.39,0.41,0.41,0.42,0.47,0.51,0.52,0.54,0.52,0.60,0.60,0.62,0.63,0.68,0.73,0.73,0.53,0.44,0.43,0.43,0.43,0.44,0.44,0.40,0.34,0.29,0.31,0.32,0.34,0.38,0.38,0.36,0.41,0.41,0.40,0.32,0.29,0.34,0.32,0.25,0.24,0.25,0.22,0.23,0.21,0.19,-10.7%,-5.9%,0.1%,,
Slovakia,0.25,0.26,0.25,0.26,0.27,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.29,0.30,0.30,0.34,0.33,0.34,0.34,0.36,0.35,0.33,0.34,0.36,0.35,0.33,0.29,0.26,0.26,0.23,0.23,0.22,0.21,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.11,-17.8%,-1.7%,0.1%,,
Slovenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.05,0.05,0.05,0.04,-6.8%,-3.1%,?,,
Spain,0.41,0.38,0.38,0.39,0.39,0.41,0.41,0.42,0.41,0.40,0.44,0.43,0.46,0.40,0.45,0.52,0.64,0.71,0.75,0.76,0.75,0.78,0.76,0.66,0.81,0.80,0.84,0.85,0.77,0.79,0.79,0.67,0.77,0.73,0.82,0.88,0.80,0.90,0.84,0.88,0.86,0.75,0.84,0.57,0.39,0.29,0.54,0.65,0.48,0.49,0.57,0.44,0.56,0.46,0.21,-54.6%,-2.0%,0.1%,,
Sweden,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.07,0.08,0.08,0.08,0.06,0.06,0.08,0.07,0.06,0.07,0.09,0.10,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.12,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.08,0.12,0.10,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,2.2%,-3.5%,0.1%,,
Switzerland,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,^,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,^,^,^,^,?,-4.2%,?,,
